"Var1"	"Var2"	"value"	"T"
"NONO"	"TROVE2"	0.316510696019164	NA
"SRSF1"	"PTBP1"	0.315968479032102	NA
"PTBP1"	"SRSF1"	0.315968479032102	NA
"SND1"	"DDX3X"	0.315782246549415	NA
"DDX3X"	"SND1"	0.315782246549415	"TRUE"
"SND1"	"FMR1"	0.315434708079696	NA
"FMR1"	"SND1"	0.315434708079696	NA
"SBDS"	"AUH"	0.315420572614672	NA
"AUH"	"SBDS"	0.315420572614672	NA
"RBM27"	"FAM120A"	0.315109104983948	NA
"FAM120A"	"RBM27"	0.315109104983948	NA
"HNRNPU"	"CSTF2T"	0.314958845561226	NA
"CSTF2T"	"HNRNPU"	0.314958845561226	NA
"SLTM"	"DGCR8"	0.314318097966026	NA
"DGCR8"	"SLTM"	0.314318097966026	NA
"TAF15"	"CPSF6"	0.314292516081663	NA
"CPSF6"	"TAF15"	0.314292516081663	NA
"SND1"	"EIF4G2"	0.313810930251177	NA
"EIF4G2"	"SND1"	0.313810930251177	NA
"XRN2"	"SMNDC1"	0.313782900798791	NA
"SMNDC1"	"XRN2"	0.313782900798791	NA
"FXR2"	"FAM120A"	0.313076668714085	NA
"FAM120A"	"FXR2"	0.313076668714085	NA
"GTF2F1"	"CPSF6"	0.312661790916852	NA
"CPSF6"	"GTF2F1"	0.312661790916852	NA
"KHDRBS1"	"HNRNPA1"	0.312425702379317	NA
"HNRNPA1"	"KHDRBS1"	0.312425702379317	"TRUE"
"FAM120A"	"CPSF6"	0.312309806657829	NA
"CPSF6"	"FAM120A"	0.312309806657829	NA
"SBDS"	"DGCR8"	0.312085830657976	NA
"DGCR8"	"SBDS"	0.312085830657976	NA
"SLTM"	"NPM1"	0.312040525231265	NA
"NPM1"	"SLTM"	0.312040525231265	NA
"HNRNPA1"	"GTF2F1"	0.31190845084121	"TRUE"
"GTF2F1"	"HNRNPA1"	0.31190845084121	NA
"TRA2A"	"TNRC6A"	0.31176799582631	NA
"TNRC6A"	"TRA2A"	0.31176799582631	NA
"TROVE2"	"GNL3"	0.31154002528813	NA
"GNL3"	"TROVE2"	0.31154002528813	NA
"TROVE2"	"CSTF2T"	0.311487579152096	NA
"CSTF2T"	"TROVE2"	0.311487579152096	NA
"YWHAG"	"LSM11"	0.310816162126121	NA
"LSM11"	"YWHAG"	0.310816162126121	NA
"RBM27"	"NONO"	0.310495848386452	NA
"NONO"	"RBM27"	0.310495848386452	NA
"SRSF1"	"FXR1"	0.310471544123907	NA
"FXR1"	"SRSF1"	0.310471544123907	NA
"SND1"	"GTF2F1"	0.3104280856893	NA
"GTF2F1"	"SND1"	0.3104280856893	NA
"NONO"	"HNRNPM"	0.310289292436986	NA
"HNRNPM"	"NONO"	0.310289292436986	"TRUE"
"YWHAG"	"SRSF1"	0.309919441433538	NA
"SRSF1"	"YWHAG"	0.309919441433538	NA
"SLTM"	"FAM120A"	0.30991456966166	NA
"FAM120A"	"SLTM"	0.30991456966166	NA
"TROVE2"	"FAM120A"	0.309657989312629	NA
"FAM120A"	"TROVE2"	0.309657989312629	NA
"HNRNPUL1"	"HNRNPU"	0.309512437364286	NA
"HNRNPU"	"HNRNPUL1"	0.309512437364286	NA
"SND1"	"RBM27"	0.309466801506285	NA
"RBM27"	"SND1"	0.309466801506285	NA
"PTBP1"	"GNL3"	0.308816187311863	NA
"GNL3"	"PTBP1"	0.308816187311863	NA
"GTF2F1"	"FAM120A"	0.308668978414989	NA
"FAM120A"	"GTF2F1"	0.308668978414989	NA
"EIF4G2"	"DGCR8"	0.308659752506866	NA
"DGCR8"	"EIF4G2"	0.308659752506866	NA
"SND1"	"FAM120A"	0.308538089204351	NA
"FAM120A"	"SND1"	0.308538089204351	NA
"TRA2A"	"NPM1"	0.308391065018063	NA
"NPM1"	"TRA2A"	0.308391065018063	NA
"DGCR8"	"DDX42"	0.308161318426923	NA
"DDX42"	"DGCR8"	0.308161318426923	NA
"LSM11"	"GTF2F1"	0.308073512751713	NA
"GTF2F1"	"LSM11"	0.308073512751713	NA
"FXR2"	"DDX3X"	0.307658766808573	NA
"DDX3X"	"FXR2"	0.307658766808573	NA
"GTF2F1"	"GNL3"	0.306798599168043	NA
"GNL3"	"GTF2F1"	0.306798599168043	NA
"NPM1"	"DGCR8"	0.306552911951711	NA
"DGCR8"	"NPM1"	0.306552911951711	NA
"TNRC6A"	"CPSF6"	0.306516011730242	NA
"CPSF6"	"TNRC6A"	0.306516011730242	NA
"SLTM"	"LSM11"	0.306277066239066	NA
"LSM11"	"SLTM"	0.306277066239066	NA
"LARP7"	"EIF4G2"	0.306102273942084	NA
"EIF4G2"	"LARP7"	0.306102273942084	NA
"TROVE2"	"SLTM"	0.305911817538963	NA
"SLTM"	"TROVE2"	0.305911817538963	NA
"SND1"	"CPSF6"	0.305663785665013	NA
"CPSF6"	"SND1"	0.305663785665013	NA
"YWHAG"	"HNRNPUL1"	0.30560413128474	NA
"HNRNPUL1"	"YWHAG"	0.30560413128474	NA
"LIN28B"	"DDX3X"	0.305301646192068	NA
"DDX3X"	"LIN28B"	0.305301646192068	NA
"XRN2"	"SRSF1"	0.3051355394908	NA
"SRSF1"	"XRN2"	0.3051355394908	NA
"TARDBP"	"LIN28B"	0.304013029031448	NA
"LIN28B"	"TARDBP"	0.304013029031448	NA
"PTBP1"	"DGCR8"	0.303931383940153	NA
"DGCR8"	"PTBP1"	0.303931383940153	NA
"SAFB2"	"HNRNPUL1"	0.303900973935435	"TRUE"
"HNRNPUL1"	"SAFB2"	0.303900973935435	NA
"GNL3"	"FAM120A"	0.303681004726503	NA
"FAM120A"	"GNL3"	0.303681004726503	NA
"RBM27"	"LSM11"	0.303515790749443	NA
"LSM11"	"RBM27"	0.303515790749443	NA
"HNRNPU"	"GTF2F1"	0.303382734437115	"TRUE"
"GTF2F1"	"HNRNPU"	0.303382734437115	"TRUE"
"IGF2BP2"	"DDX3X"	0.303377927447704	NA
"DDX3X"	"IGF2BP2"	0.303377927447704	NA
"TROVE2"	"ILF3"	0.303301205867038	NA
"ILF3"	"TROVE2"	0.303301205867038	NA
"TROVE2"	"TAF15"	0.302836291326449	NA
"TAF15"	"TROVE2"	0.302836291326449	NA
"LARP7"	"DDX42"	0.302376952180693	NA
"DDX42"	"LARP7"	0.302376952180693	NA
"HNRNPUL1"	"DGCR8"	0.302075453452246	NA
"DGCR8"	"HNRNPUL1"	0.302075453452246	"TRUE"
"LIN28B"	"CPSF6"	0.30192467023507	NA
"CPSF6"	"LIN28B"	0.30192467023507	NA
"SLTM"	"NONO"	0.301502530660438	NA
"NONO"	"SLTM"	0.301502530660438	NA
"SLTM"	"GNL3"	0.30111805966877	NA
"GNL3"	"SLTM"	0.30111805966877	NA
"KHDRBS1"	"ILF3"	0.301011889740212	NA
"ILF3"	"KHDRBS1"	0.301011889740212	NA
"LSM11"	"FAM120A"	0.300846373515683	NA
"FAM120A"	"LSM11"	0.300846373515683	NA
"ILF3"	"CSTF2T"	0.300831625805243	NA
"CSTF2T"	"ILF3"	0.300831625805243	NA
"SRSF1"	"SMNDC1"	0.300456947662126	NA
"SMNDC1"	"SRSF1"	0.300456947662126	NA
"FMR1"	"FAM120A"	0.300404877120018	NA
"FAM120A"	"FMR1"	0.300404877120018	NA
"SRSF1"	"SLTM"	0.300370014582748	NA
"SLTM"	"SRSF1"	0.300370014582748	NA
"SND1"	"SMNDC1"	0.300229558196257	"TRUE"
"SMNDC1"	"SND1"	0.300229558196257	NA
"TARDBP"	"SND1"	0.300222797123227	"TRUE"
