"Var1"	"Var2"	"value"
"HNRNPU_exon"	"DDX42_exon"	0.258701536326838
"HNRNPUL1_exon"	"DDX42_exon"	0.261627011017723
"IGF2BP1_exon"	"DDX42_exon"	0.165798856806518
"IGF2BP2_exon"	"DDX42_exon"	0.243014041029818
"ILF3_exon"	"DDX42_exon"	0.223820654764844
"KHDRBS1_exon"	"DDX42_exon"	0.216996526002965
"KHSRP_exon"	"DDX42_exon"	0.15067012291604
"LARP7_exon"	"DDX42_exon"	0.296358958656135
"LIN28B_exon"	"DDX42_exon"	0.203375175994082
"LSM11_exon"	"DDX42_exon"	0.253118203096328
"NONO_exon"	"DDX42_exon"	0.248570023777261
"NPM1_exon"	"DDX42_exon"	0.264697782773507
"PRPF8_exon"	"DDX42_exon"	0.20335777787905
"PTBP1_exon"	"DDX42_exon"	0.249471242610866
"RBM22_exon"	"DDX42_exon"	0.229953962346421
"RBM27_exon"	"DDX42_exon"	0.277004866155805
"SAFB2_exon"	"DDX42_exon"	0.243629253624104
"SBDS_exon"	"DDX42_exon"	0.23356313958771
"SLBP_exon"	"DDX42_exon"	0.210461476567355
"SLTM_exon"	"DDX42_exon"	0.352323301994493
"SMNDC1_exon"	"DDX42_exon"	0.266547196946326
"SND1_exon"	"DDX42_exon"	0.250241408605622
"SRSF1_exon"	"DDX42_exon"	0.249130875268905
"TAF15_exon"	"DDX42_exon"	0.256874873699361
"TARDBP_exon"	"DDX42_exon"	0.24082931607392
"TNRC6A_exon"	"DDX42_exon"	0.294138602349966
"TRA2A_exon"	"DDX42_exon"	0.242019568919583
"TROVE2_exon"	"DDX42_exon"	0.273961496788048
"U2AF1_exon"	"DDX42_exon"	0.258433096383224
"U2AF2_exon"	"DDX42_exon"	0.191271176014166
"XRN2_exon"	"DDX42_exon"	0.34082584130299
"YWHAG_exon"	"DDX42_exon"	0.295280579914271
"AUH_exon"	"DGCR8_exon"	0.265499335767563
"CPSF6_exon"	"DGCR8_exon"	0.275302704024444
"CSTF2T_exon"	"DGCR8_exon"	0.269454971711499
"DDX3X_exon"	"DGCR8_exon"	0.25222594149769
"DDX42_exon"	"DGCR8_exon"	0.310105105598371
"DGCR8_exon"	"DGCR8_exon"	1
"EIF4G2_exon"	"DGCR8_exon"	0.302781502271529
"FAM120A_exon"	"DGCR8_exon"	0.283572521555958
"FMR1_exon"	"DGCR8_exon"	0.261715627430531
"FXR1_exon"	"DGCR8_exon"	0.272734693121005
"FXR2_exon"	"DGCR8_exon"	0.26115641449134
"GNL3_exon"	"DGCR8_exon"	0.323440608978052
"GTF2F1_exon"	"DGCR8_exon"	0.3196555757296
"HNRNPA1_exon"	"DGCR8_exon"	0.225074678110979
"HNRNPK_exon"	"DGCR8_exon"	0.227515204804057
"HNRNPM_exon"	"DGCR8_exon"	0.248942036943865
"HNRNPU_exon"	"DGCR8_exon"	0.241241328585022
"HNRNPUL1_exon"	"DGCR8_exon"	0.28631219029641
"IGF2BP1_exon"	"DGCR8_exon"	0.225337016431212
"IGF2BP2_exon"	"DGCR8_exon"	0.249642825913851
"ILF3_exon"	"DGCR8_exon"	0.267866968459491
"KHDRBS1_exon"	"DGCR8_exon"	0.225517704364408
"KHSRP_exon"	"DGCR8_exon"	0.161693991245305
"LARP7_exon"	"DGCR8_exon"	0.260454144876626
"LIN28B_exon"	"DGCR8_exon"	0.196119166339977
"LSM11_exon"	"DGCR8_exon"	0.275374303608165
"NONO_exon"	"DGCR8_exon"	0.325937014405624
"NPM1_exon"	"DGCR8_exon"	0.30275558351388
"PRPF8_exon"	"DGCR8_exon"	0.202410317196756
"PTBP1_exon"	"DGCR8_exon"	0.305052547216529
"RBM22_exon"	"DGCR8_exon"	0.275335591964056
"RBM27_exon"	"DGCR8_exon"	0.333718958049561
"SAFB2_exon"	"DGCR8_exon"	0.218418539667175
"SBDS_exon"	"DGCR8_exon"	0.313802240650734
"SLBP_exon"	"DGCR8_exon"	0.21134148368778
"SLTM_exon"	"DGCR8_exon"	0.297757573343501
